====iter_19100: fit=1.5398, reg=1.1096, thom=5.1442, thomf=4.9780, acc=0.6094
====iter_19200: fit=1.3581, reg=1.1113, thom=5.1444, thomf=4.9766, acc=0.6250
====iter_19300: fit=1.5589, reg=1.1135, thom=5.1445, thomf=4.9771, acc=0.6172
====iter_19400: fit=1.2563, reg=1.1140, thom=5.1445, thomf=4.9771, acc=0.6172
====iter_19500: fit=1.6500, reg=1.1156, thom=5.1445, thomf=4.9769, acc=0.6016
====iter_19600: fit=1.3210, reg=1.1178, thom=5.1440, thomf=4.9767, acc=0.6484
====iter_19700: fit=1.3225, reg=1.1168, thom=5.1444, thomf=4.9768, acc=0.6953
====iter_19800: fit=1.4751, reg=1.1162, thom=5.1451, thomf=4.9760, acc=0.6328
====iter_19900: fit=1.3001, reg=1.1169, thom=5.1448, thomf=4.9779, acc=0.6250
====iter_20000: fit=1.5029, reg=1.1165, thom=5.1448, thomf=4.9762, acc=0.6094
====iter_20100: fit=1.4816, reg=1.1164, thom=5.1451, thomf=4.9776, acc=0.5859
====iter_20200: fit=1.4066, reg=1.1173, thom=5.1440, thomf=4.9784, acc=0.6719
====iter_20300: fit=1.1804, reg=1.1184, thom=5.1446, thomf=4.9775, acc=0.6719
====iter_20400: fit=1.2247, reg=1.1189, thom=5.1452, thomf=4.9767, acc=0.6562
====iter_20500: fit=1.3444, reg=1.1238, thom=5.1442, thomf=4.9768, acc=0.6484
====iter_20600: fit=1.5739, reg=1.1269, thom=5.1446, thomf=4.9772, acc=0.5547
====iter_20700: fit=1.4275, reg=1.1248, thom=5.1442, thomf=4.9767, acc=0.6562
====iter_20800: fit=1.7162, reg=1.1265, thom=5.1442, thomf=4.9763, acc=0.5469
====iter_20900: fit=1.4316, reg=1.1285, thom=5.1443, thomf=4.9769, acc=0.5938
====iter_21000: fit=1.4032, reg=1.1242, thom=5.1448, thomf=4.9765, acc=0.6797
====iter_21100: fit=1.1470, reg=1.1236, thom=5.1449, thomf=4.9755, acc=0.6875
====iter_21200: fit=1.4685, reg=1.1277, thom=5.1441, thomf=4.9753, acc=0.6406
====iter_21300: fit=1.5860, reg=1.1298, thom=5.1451, thomf=4.9760, acc=0.5469
====iter_21400: fit=1.4136, reg=1.1287, thom=5.1448, thomf=4.9760, acc=0.6484
====iter_21500: fit=1.2245, reg=1.1297, thom=5.1440, thomf=4.9773, acc=0.6406
====iter_21600: fit=1.3587, reg=1.1319, thom=5.1442, thomf=4.9763, acc=0.6172
====iter_21700: fit=1.1429, reg=1.1325, thom=5.1445, thomf=4.9774, acc=0.6953
====iter_21800: fit=1.5517, reg=1.1320, thom=5.1437, thomf=4.9772, acc=0.6094
====iter_21900: fit=1.2435, reg=1.1311, thom=5.1442, thomf=4.9760, acc=0.6328
====iter_22000: fit=1.4854, reg=1.1334, thom=5.1443, thomf=4.9768, acc=0.6016
====iter_22100: fit=1.4674, reg=1.1338, thom=5.1443, thomf=4.9766, acc=0.6406
====iter_22200: fit=1.5778, reg=1.1306, thom=5.1446, thomf=4.9766, acc=0.5625
====iter_22300: fit=1.4446, reg=1.1317, thom=5.1437, thomf=4.9756, acc=0.6250
====iter_22400: fit=1.4262, reg=1.1385, thom=5.1444, thomf=4.9764, acc=0.6406
====iter_22500: fit=1.3421, reg=1.1364, thom=5.1437, thomf=4.9764, acc=0.6797
====iter_22600: fit=1.2986, reg=1.1338, thom=5.1439, thomf=4.9765, acc=0.6953
====iter_22700: fit=1.4045, reg=1.1363, thom=5.1444, thomf=4.9767, acc=0.5859
====iter_22800: fit=1.6057, reg=1.1387, thom=5.1440, thomf=4.9767, acc=0.6328
====iter_22900: fit=1.8052, reg=1.1367, thom=5.1444, thomf=4.9766, acc=0.4844
====iter_23000: fit=1.6437, reg=1.1353, thom=5.1449, thomf=4.9764, acc=0.5781
====iter_23100: fit=1.6887, reg=1.1354, thom=5.1436, thomf=4.9765, acc=0.5703
====iter_23200: fit=1.4726, reg=1.1373, thom=5.1448, thomf=4.9766, acc=0.5703
====iter_23300: fit=1.4617, reg=1.1366, thom=5.1444, thomf=4.9768, acc=0.6484
====iter_23400: fit=1.3960, reg=1.1373, thom=5.1441, thomf=4.9768, acc=0.6172
====iter_23500: fit=1.3608, reg=1.1368, thom=5.1443, thomf=4.9770, acc=0.6250
====iter_23600: fit=1.4546, reg=1.1351, thom=5.1448, thomf=4.9759, acc=0.6328
====iter_23700: fit=1.1450, reg=1.1348, thom=5.1451, thomf=4.9773, acc=0.6562
====iter_23800: fit=1.4196, reg=1.1316, thom=5.1442, thomf=4.9763, acc=0.6250
====iter_23900: fit=1.7483, reg=1.1329, thom=5.1440, thomf=4.9759, acc=0.5703
====iter_24000: fit=1.4711, reg=1.1371, thom=5.1438, thomf=4.9765, acc=0.6016
====iter_24100: fit=1.4821, reg=1.1376, thom=5.1449, thomf=4.9768, acc=0.6016
====iter_24200: fit=1.1611, reg=1.1363, thom=5.1443, thomf=4.9771, acc=0.6641
====iter_24300: fit=1.4399, reg=1.1345, thom=5.1441, thomf=4.9757, acc=0.6250
====iter_24400: fit=1.6039, reg=1.1375, thom=5.1439, thomf=4.9764, acc=0.5781
====iter_24500: fit=1.4967, reg=1.1378, thom=5.1433, thomf=4.9771, acc=0.5781
====iter_24600: fit=1.0854, reg=1.1346, thom=5.1442, thomf=4.9762, acc=0.7188
====iter_24700: fit=1.2005, reg=1.1375, thom=5.1439, thomf=4.9761, acc=0.7031
====iter_24800: fit=1.7436, reg=1.1381, thom=5.1441, thomf=4.9765, acc=0.5469
