====iter_11500: fit=1.4585, reg=1.0128, thom=5.1273, thomf=4.9780, acc=0.5938
====iter_11600: fit=1.7078, reg=1.0154, thom=5.1273, thomf=4.9783, acc=0.5625
====iter_11700: fit=1.1981, reg=1.0139, thom=5.1273, thomf=4.9785, acc=0.6875
====iter_11800: fit=1.5882, reg=1.0148, thom=5.1269, thomf=4.9783, acc=0.5781
====iter_11900: fit=1.5677, reg=1.0179, thom=5.1276, thomf=4.9784, acc=0.5703
====iter_12000: fit=1.4210, reg=1.0193, thom=5.1275, thomf=4.9791, acc=0.5859
====iter_12100: fit=1.7023, reg=1.0208, thom=5.1275, thomf=4.9787, acc=0.5312
====iter_12200: fit=1.7893, reg=1.0251, thom=5.1275, thomf=4.9781, acc=0.5469
====iter_12300: fit=1.5646, reg=1.0271, thom=5.1272, thomf=4.9783, acc=0.6016
====iter_12400: fit=1.7599, reg=1.0263, thom=5.1273, thomf=4.9788, acc=0.4844
====iter_12500: fit=1.4859, reg=1.0245, thom=5.1269, thomf=4.9780, acc=0.6406
====iter_12600: fit=1.7193, reg=1.0249, thom=5.1268, thomf=4.9781, acc=0.5547
====iter_12700: fit=1.3343, reg=1.0277, thom=5.1267, thomf=4.9782, acc=0.6328
====iter_12800: fit=1.5358, reg=1.0277, thom=5.1264, thomf=4.9777, acc=0.5781
====iter_12900: fit=1.6743, reg=1.0264, thom=5.1262, thomf=4.9778, acc=0.5625
====iter_13000: fit=1.4863, reg=1.0288, thom=5.1260, thomf=4.9778, acc=0.6094
====iter_13100: fit=1.8428, reg=1.0316, thom=5.1262, thomf=4.9780, acc=0.5312
====iter_13200: fit=1.7761, reg=1.0317, thom=5.1261, thomf=4.9784, acc=0.5469
====iter_13300: fit=1.5552, reg=1.0333, thom=5.1263, thomf=4.9778, acc=0.5703
====iter_13400: fit=1.3218, reg=1.0400, thom=5.1264, thomf=4.9768, acc=0.6641
====iter_13500: fit=1.7109, reg=1.0430, thom=5.1263, thomf=4.9788, acc=0.5312
====iter_13600: fit=1.5246, reg=1.0419, thom=5.1263, thomf=4.9781, acc=0.5781
====iter_13700: fit=1.3622, reg=1.0416, thom=5.1264, thomf=4.9775, acc=0.6406
====iter_13800: fit=1.2039, reg=1.0436, thom=5.1262, thomf=4.9775, acc=0.6484
====iter_13900: fit=1.5587, reg=1.0447, thom=5.1260, thomf=4.9775, acc=0.5703
====iter_14000: fit=1.4889, reg=1.0441, thom=5.1260, thomf=4.9782, acc=0.6172
====iter_14100: fit=1.5438, reg=1.0427, thom=5.1259, thomf=4.9775, acc=0.6172
====iter_14200: fit=1.3489, reg=1.0472, thom=5.1260, thomf=4.9770, acc=0.6016
====iter_14300: fit=1.6781, reg=1.0479, thom=5.1261, thomf=4.9775, acc=0.5625
====iter_14400: fit=1.5628, reg=1.0492, thom=5.1259, thomf=4.9781, acc=0.5391
====iter_14500: fit=1.4788, reg=1.0487, thom=5.1261, thomf=4.9772, acc=0.5859
====iter_14600: fit=1.5915, reg=1.0522, thom=5.1257, thomf=4.9774, acc=0.5547
====iter_14700: fit=1.6987, reg=1.0539, thom=5.1258, thomf=4.9771, acc=0.5938
====iter_14800: fit=1.8144, reg=1.0514, thom=5.1255, thomf=4.9791, acc=0.5391
====iter_14900: fit=1.6855, reg=1.0502, thom=5.1256, thomf=4.9778, acc=0.5469
====iter_15000: fit=1.4652, reg=1.0566, thom=5.1259, thomf=4.9778, acc=0.6328
====iter_15100: fit=1.8791, reg=1.0589, thom=5.1258, thomf=4.9785, acc=0.5312
====iter_15200: fit=1.6800, reg=1.0583, thom=5.1253, thomf=4.9793, acc=0.5391
====iter_15300: fit=1.4157, reg=1.0624, thom=5.1258, thomf=4.9782, acc=0.6328
====iter_15400: fit=1.5604, reg=1.0636, thom=5.1256, thomf=4.9778, acc=0.5703
====iter_15500: fit=1.5559, reg=1.0604, thom=5.1252, thomf=4.9782, acc=0.5703
====iter_15600: fit=1.3119, reg=1.0562, thom=5.1249, thomf=4.9786, acc=0.6484
====iter_15700: fit=1.4797, reg=1.0571, thom=5.1251, thomf=4.9775, acc=0.6250
====iter_15800: fit=1.7438, reg=1.0580, thom=5.1253, thomf=4.9775, acc=0.5312
====iter_15900: fit=1.7264, reg=1.0580, thom=5.1253, thomf=4.9776, acc=0.5234
====iter_16000: fit=1.3844, reg=1.0567, thom=5.1250, thomf=4.9783, acc=0.6172
====iter_16100: fit=1.4698, reg=1.0598, thom=5.1248, thomf=4.9773, acc=0.5625
====iter_16200: fit=1.5250, reg=1.0617, thom=5.1253, thomf=4.9775, acc=0.5625
====iter_16300: fit=1.7471, reg=1.0618, thom=5.1249, thomf=4.9786, acc=0.5156
====iter_16400: fit=1.6307, reg=1.0601, thom=5.1246, thomf=4.9769, acc=0.5469
====iter_16500: fit=1.5523, reg=1.0618, thom=5.1249, thomf=4.9775, acc=0.5781
====iter_16600: fit=1.3184, reg=1.0665, thom=5.1251, thomf=4.9778, acc=0.6328
