====iter_20700: fit=1.4631, reg=1.0709, thom=5.1210, thomf=4.9768, acc=0.5703
====iter_20800: fit=1.4101, reg=1.0732, thom=5.1210, thomf=4.9768, acc=0.6328
====iter_20900: fit=1.5381, reg=1.0727, thom=5.1213, thomf=4.9777, acc=0.5859
====iter_21000: fit=1.4873, reg=1.0754, thom=5.1210, thomf=4.9776, acc=0.5469
====iter_21100: fit=1.5721, reg=1.0751, thom=5.1211, thomf=4.9776, acc=0.6172
====iter_21200: fit=1.4835, reg=1.0775, thom=5.1214, thomf=4.9781, acc=0.6172
====iter_21300: fit=1.3754, reg=1.0805, thom=5.1218, thomf=4.9771, acc=0.5703
====iter_21400: fit=1.4906, reg=1.0782, thom=5.1216, thomf=4.9776, acc=0.5859
====iter_21500: fit=1.3807, reg=1.0750, thom=5.1210, thomf=4.9777, acc=0.6562
====iter_21600: fit=1.6577, reg=1.0784, thom=5.1214, thomf=4.9777, acc=0.5547
====iter_21700: fit=1.2716, reg=1.0792, thom=5.1217, thomf=4.9776, acc=0.6406
====iter_21800: fit=1.6472, reg=1.0784, thom=5.1205, thomf=4.9775, acc=0.5547
====iter_21900: fit=1.2119, reg=1.0773, thom=5.1208, thomf=4.9773, acc=0.7031
====iter_22000: fit=1.4483, reg=1.0797, thom=5.1212, thomf=4.9773, acc=0.5938
====iter_22100: fit=1.6407, reg=1.0794, thom=5.1213, thomf=4.9779, acc=0.5703
====iter_22200: fit=1.6398, reg=1.0778, thom=5.1220, thomf=4.9783, acc=0.6094
====iter_22300: fit=1.4510, reg=1.0770, thom=5.1209, thomf=4.9773, acc=0.5859
====iter_22400: fit=1.4809, reg=1.0788, thom=5.1215, thomf=4.9775, acc=0.5938
====iter_22500: fit=1.4930, reg=1.0791, thom=5.1216, thomf=4.9779, acc=0.6250
====iter_22600: fit=1.5971, reg=1.0772, thom=5.1211, thomf=4.9783, acc=0.5781
====iter_22700: fit=1.5757, reg=1.0755, thom=5.1209, thomf=4.9779, acc=0.6094
====iter_22800: fit=1.5604, reg=1.0763, thom=5.1220, thomf=4.9766, acc=0.5625
====iter_22900: fit=1.2997, reg=1.0793, thom=5.1213, thomf=4.9777, acc=0.5625
====iter_23000: fit=1.3718, reg=1.0777, thom=5.1221, thomf=4.9787, acc=0.5469
====iter_23100: fit=1.3615, reg=1.0793, thom=5.1218, thomf=4.9777, acc=0.6484
====iter_23200: fit=1.6103, reg=1.0800, thom=5.1211, thomf=4.9768, acc=0.5938
====iter_23300: fit=1.4549, reg=1.0811, thom=5.1212, thomf=4.9769, acc=0.6016
====iter_23400: fit=1.5113, reg=1.0781, thom=5.1222, thomf=4.9773, acc=0.6094
====iter_23500: fit=1.3973, reg=1.0773, thom=5.1213, thomf=4.9777, acc=0.6484
====iter_23600: fit=1.7909, reg=1.0788, thom=5.1223, thomf=4.9783, acc=0.5312
====iter_23700: fit=1.4223, reg=1.0801, thom=5.1219, thomf=4.9787, acc=0.6172
====iter_23800: fit=1.2768, reg=1.0778, thom=5.1220, thomf=4.9783, acc=0.6875
====iter_23900: fit=1.4469, reg=1.0787, thom=5.1221, thomf=4.9775, acc=0.5781
====iter_24000: fit=1.6269, reg=1.0833, thom=5.1228, thomf=4.9785, acc=0.5547
====iter_24100: fit=1.6431, reg=1.0859, thom=5.1223, thomf=4.9782, acc=0.5547
====iter_24200: fit=1.1123, reg=1.0847, thom=5.1217, thomf=4.9784, acc=0.6953
====iter_24300: fit=1.2588, reg=1.0845, thom=5.1222, thomf=4.9774, acc=0.6328
====iter_24400: fit=1.7583, reg=1.0841, thom=5.1219, thomf=4.9777, acc=0.5625
====iter_24500: fit=1.3219, reg=1.0837, thom=5.1221, thomf=4.9778, acc=0.6328
